txn_seq,category,order_id,payment_id,utr,invoice_id,expected_resolution,notes
40,missing_settlement,order_0c5zZ5cZWlU2rc,pay_sL5uCNG3iFqYuT,,INV-2026-0040,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
41,missing_settlement,order_XJUk13ZFfPliup,pay_qoU7sSaOQdhtzF,,INV-2026-0041,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
42,missing_settlement,order_4sMnijULzIDHPn,pay_pU2fBReIdHFJju,,INV-2026-0042,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
43,missing_settlement,order_KfFYCFCdCYSyYU,pay_Jcvd95e5bzVV8O,,INV-2026-0043,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
44,partial_refund_mismatch,order_4xQPHOvlHGTnab,pay_sPHGZpvr6SgYzV,5468204577192955,INV-2026-0044,exception_refund_mismatch,Rs.10721.32 partial refund issued after capture. Settlement reflects the net amount but the ledger still shows the original gross amount.
45,partial_refund_mismatch,order_VYo29GzrIKTkQI,pay_cvNxGRzslHon1i,5323043580360085,INV-2026-0045,exception_refund_mismatch,Rs.15233.19 partial refund issued after capture. Settlement reflects the net amount but the ledger still shows the original gross amount.
46,partial_refund_mismatch,order_Pnm4s4nlTUU4RR,pay_yotrCOtw2CXSVt,7055721252593747,INV-2026-0046,exception_refund_mismatch,Rs.3234.4 partial refund issued after capture. Settlement reflects the net amount but the ledger still shows the original gross amount.
47,partial_refund_mismatch,order_TCTviHl397G0eY,pay_daiNejnCdN54Oa,2908689101158233,INV-2026-0047,exception_refund_mismatch,Rs.17135.85 partial refund issued after capture. Settlement reflects the net amount but the ledger still shows the original gross amount.
48,partial_refund_mismatch,order_zJ9oQ0O1VfxIda,pay_kEAWJ1fGcn13Dc,0939577301283837,INV-2026-0048,exception_refund_mismatch,Rs.4544.57 partial refund issued after capture. Settlement reflects the net amount but the ledger still shows the original gross amount.
49,reference_format_mismatch,order_i9SF8dBZvV7yVb,pay_q9Ew6AQOfMXSfj,3094710455105578,INV-2026-0049,exception_needs_fuzzy_match,Ledger reference 'pay_q9ew6aqofmxsfj' is a cosmetic variant of payment_id 'pay_q9Ew6AQOfMXSfj' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
50,reference_format_mismatch,order_syf348JkxisEdA,pay_AEeppMKmgs6uMX,8913923992645238,INV-2026-0050,exception_needs_fuzzy_match,Ledger reference 'pay-AEeppMKmgs6uMX' is a cosmetic variant of payment_id 'pay_AEeppMKmgs6uMX' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
51,reference_format_mismatch,order_w5m9lVbT6mXZe0,pay_XPispjAxBLKH51,8560763609637940,INV-2026-0051,exception_needs_fuzzy_match,Ledger reference 'pay_XPispjAxBLK' is a cosmetic variant of payment_id 'pay_XPispjAxBLKH51' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
52,reference_format_mismatch,order_nUIQnxCQQj9Ds5,pay_fZTvvWGvgSCecS,8975534476163784,INV-2026-0052,exception_needs_fuzzy_match,Ledger reference 'pay-fZTvvWGvgSCecS' is a cosmetic variant of payment_id 'pay_fZTvvWGvgSCecS' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
53,reference_format_mismatch,order_yRmUYdg2luCq1G,pay_NLLKv0MYRsMfih,5413166695413403,INV-2026-0053,exception_needs_fuzzy_match,Ledger reference 'pay_nllkv0myrsmfih' is a cosmetic variant of payment_id 'pay_NLLKv0MYRsMfih' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
54,reference_format_mismatch,order_EmxIOzESBkJXnc,pay_nrWJVEFJqH9HUV,8729438497285376,INV-2026-0054,exception_needs_fuzzy_match,Ledger reference 'nrWJVEFJqH9HUV' is a cosmetic variant of payment_id 'pay_nrWJVEFJqH9HUV' ({mangle}). Amount/date match exactly -- a fuzzy-match layer should resolve this with high confidence.
55,currency_rounding,order_MWYXJHLk8sJ7F3,pay_YiUzdrORijtp0y,4680529393077746,INV-2026-0055,exception_rounding,"Ledger amount differs from gateway amount by Rs.0.02 -- a paise-level rounding artifact. Should be caught by a small tolerance band, not treated as a real mismatch."
56,currency_rounding,order_dHnAnqZuJJEvQd,pay_gWCh1Ba7mQiOj5,6606774002055403,INV-2026-0056,exception_rounding,"Ledger amount differs from gateway amount by Rs.0.01 -- a paise-level rounding artifact. Should be caught by a small tolerance band, not treated as a real mismatch."
57,currency_rounding,order_1RDofXgwsxY2NP,pay_eILkvnU5MBn3ih,1205667686355720,INV-2026-0057,exception_rounding,"Ledger amount differs from gateway amount by Rs.0.03 -- a paise-level rounding artifact. Should be caught by a small tolerance band, not treated as a real mismatch."
58,currency_rounding,order_7EgEKG895i1JwQ,pay_V7VbeqcdWFMFzR,2352853686067800,INV-2026-0058,exception_rounding,"Ledger amount differs from gateway amount by Rs.0.02 -- a paise-level rounding artifact. Should be caught by a small tolerance band, not treated as a real mismatch."
58,true_orphan,,,6101043582378718,,true_exception_orphan,Settlement credit with no corresponding gateway payment -- e.g. a misdirected bank credit. Genuinely unresolvable from this data alone.
59,true_orphan,,,,INV-2026-0059,true_exception_orphan,Manual journal/adjustment entry in the ledger with no gateway transaction behind it.
59,true_orphan,order_JhPdnFcy21VtfC,pay_wsWTpw89WTHXj5,,,true_exception_orphan,"Failed payment attempt -- should be filtered out before reconciliation even starts, not chased as a missing settlement."
59,true_orphan,,,6037373294991202,,true_exception_orphan,Settlement credit with no corresponding gateway payment -- e.g. a misdirected bank credit. Genuinely unresolvable from this data alone.
